table,column
ad,advertisement.extra_flags
ad,advertisement.extra_flags2
ad,advertisement.flags
ad,advertisement.global_advertiser_ids
ad,advertisement.global_brand_ids
ad,advertisement.global_industry_ids
ad,advertisement.has_candidate
ad,advertisement.inventory_protection_flags
ad,advertisement.io_id
ad,advertisement.is_bumper
ad,advertisement.is_embedded_tracking
ad,advertisement.is_fallback
ad,advertisement.is_sstf_fallback
ad,advertisement.is_undeliverable
ad,advertisement.market_ad_id
ad,advertisement.matched_audience_item_ids
ad,advertisement.placement_id
ad,advertisement.rendition_id
ad,advertisement.spot_id
ad,candidate.advertiser_id
ad,candidate.buyer_group_id
ad,candidate.dsp_id
ad,candidate.error
ad,candidate.integration_type
ad,candidate.internal_deal_id
ad,candidate.market_ad_id
ad,candidate.trading_desk_id
ad,partners
ad,partners.airing_channel_id
ad,partners.asset_id
ad,partners.bit_flags
ad,partners.content_form_visibility.report_aggregate
ad,partners.content_owner_bidding_modified_revenue
ad,partners.content_owner_bidding_original_revenue
ad,partners.content_owner_bidding_revenue
ad,partners.content_owner_network_id
ad,partners.content_owner_revenue
ad,partners.content_rating_visibility.report_aggregate
ad,partners.deal_awareability
ad,partners.demand_dim_awareability
ad,partners.distributor_network_id
ad,partners.distributor_revenue
ad,partners.entity_source
ad,partners.geo_city_visibility.report_aggregate
ad,partners.geo_country_visibility.report_aggregate
ad,partners.geo_dma_visibility.report_aggregate
ad,partners.geo_state_visibility.report_aggregate
ad,partners.geo_visibility.report_aggregate
ad,partners.geo_zip_code_visibility.report_aggregate
ad,partners.global_currency_id
ad,partners.inbound_listing_id
ad,partners.inbound_order_auction_type
ad,partners.inbound_order_id
ad,partners.inbound_order_type
ad,partners.matched_audience_item_ids
ad,partners.network_execution_ctx_flags
ad,partners.network_id
ad,partners.network_is_ad_owner
ad,partners.network_is_extra_item_owner
ad,partners.outbound_exchange_order_id
ad,partners.outbound_listing_id
ad,partners.outbound_order_id
ad,partners.outbound_order_type
ad,partners.reseller_network_id
ad,partners.reseller_revenue
ad,partners.revenue
ad,partners.role
ad,partners.sales_channel
ad,partners.series_id
ad,partners.site_id
ad,partners.site_section_id
ad,partners.standard_brand_visibility.report_aggregate
ad,partners.standard_channel_visibility.report_aggregate
ad,partners.standard_content_daypart_visibility.report_aggregate
ad,partners.standard_endpoint_owner_visibility.report_aggregate
ad,partners.standard_endpoint_visibility.report_aggregate
ad,partners.standard_genre_visibility.report_aggregate
ad,partners.standard_language_visibility.report_aggregate
ad,partners.standard_programmer_visibility.report_aggregate
ad,partners.supply_source
ad,partners.tracked_audience_item_ids
ad,partners.user_agent_visibility.report_aggregate
ad,request.advertisement_count
ad,request.advertisement_delivered_count
ad,request.bid_request.publisher_id
ad,request.bit_flags
ad,request.context.content_form_id
ad,request.context.content_rating_id
ad,request.context.host_name
ad,request.context.inventory_location_id
ad,request.context.ip_enabled_audience_id
ad,request.context.network_id
ad,request.context.po_type
ad,request.context.profile_id
ad,request.context.profile_type
ad,request.context.request_format
ad,request.context.response_format
ad,request.context.site_section_cro_asset_id
ad,request.context.site_section_cro_site_id
ad,request.context.site_section_id
ad,request.context.source_id
